title:exampleEmotiv, start timestamp:1683180947.898011, stop timestamp:1683180957.960511, headset type:INSIGHT, headset serial:79B30521, headset firmware:931, channels:68, sampling rate:mot_64;pm_0.1;pow_8, samples:645       , version:2.2, 
Timestamp,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1683180948.335511,32.000000,0.000000,0.984871,-0.015625,0.171875,0.015625,0.968765,0.187503,-0.250004,-76.563667,-20.567774,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.351136,33.000000,0.000000,0.966984,-0.078125,0.234375,0.062500,0.968765,0.187503,-0.250004,-76.563667,-18.510996,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.366761,34.000000,0.000000,0.931098,0.000000,0.359375,-0.062500,0.968765,0.218753,-0.250004,-76.563667,-20.488081,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.382386,35.000000,0.000000,0.690865,0.312500,0.453125,-0.468750,0.968765,0.187503,-0.250004,-76.563667,-22.267456,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.398011,36.000000,0.000000,0.780155,0.015625,0.609375,-0.140625,0.968765,0.218753,-0.250004,-76.563667,-20.040710,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.413636,37.000000,0.000000,0.967615,0.140625,0.093750,-0.187500,0.968765,0.218753,-0.250004,-76.563667,-21.864822,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.429261,38.000000,0.000000,0.923066,0.218750,0.109375,-0.296875,0.968765,0.187503,-0.218753,-76.563667,-19.678341,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.444886,39.000000,0.000000,0.852243,0.265625,0.250000,-0.375000,0.968765,0.187503,-0.218753,-76.563667,-17.710506,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.460511,40.000000,0.000000,0.791495,0.109375,0.546875,-0.250000,0.968765,0.187503,-0.218753,-76.563667,-19.767639,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.476136,41.000000,0.000000,0.493859,0.406250,0.468750,-0.609375,0.968765,0.218753,-0.250004,-76.563667,-17.790874,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
